id_scheda,fonte,url,url_finale,esito,byte,content_type,sha256,data_accesso
467,html,https://id.accademiadellacrusca.org/articoli/nulla-osta-alluso-del-congiuntivo/467,https://id.accademiadellacrusca.org/articoli/nulla-osta-alluso-del-congiuntivo/467,ok,28672,text/html; charset=utf-8,de28cc72620f52ac86f7f381c01f01dde874753fd13f0116fa0ea18ca7e15542,2026-08-07T00:30:47+02:00
467,pdf,https://id.accademiadellacrusca.org/File/Download?code=2f5b9cb6-9bf2-44ee-89fb-d29c013bd007,https://id.accademiadellacrusca.org/File/Download?code=2f5b9cb6-9bf2-44ee-89fb-d29c013bd007,ok,74465,application/octet-stream,8c07e75292dc4ba8b60d854e5c195415c3fbebf41585fbfea1dc7d5d3b913a8d,2026-08-07T00:30:47+02:00
20872,html,https://id.accademiadellacrusca.org/articoli/ci-mancava-altro-ci-mancherebbe-altro/20872,https://id.accademiadellacrusca.org/articoli/ci-mancava-altro-ci-mancherebbe-altro/20872,ok,72272,text/html; charset=utf-8,8a529cf057c3eb746f37b1f3bd29697bd130259ed1afc76d6267ba5d7f9f0d0e,2026-08-07T00:30:47+02:00
20872,pdf,https://id.accademiadellacrusca.org/File/Download?code=0577eefb-3306-45de-9ea2-7a96027d66e3,https://id.accademiadellacrusca.org/File/Download?code=0577eefb-3306-45de-9ea2-7a96027d66e3,ok,161916,application/octet-stream,6bc86283e40e315c4f99aed0478ee7bbfee4201c2a799933d064d6993cf404b3,2026-08-07T00:30:47+02:00
24943,html,https://id.accademiadellacrusca.org/articoli/la-capigruppo-sulle-ragioni-di-una-presunta-sconcordanza/24943,https://id.accademiadellacrusca.org/articoli/la-capigruppo-sulle-ragioni-di-una-presunta-sconcordanza/24943,ok,34369,text/html; charset=utf-8,a1faed6851076810068530b08cc4cf5f91ca4a1484293dfd847bfb3c7122eb3d,2026-08-07T00:30:47+02:00
24943,pdf,https://id.accademiadellacrusca.org/File/Download?code=d96541ed-2e8c-43fb-babb-e208ef47f0f4,https://id.accademiadellacrusca.org/File/Download?code=d96541ed-2e8c-43fb-babb-e208ef47f0f4,ok,88295,application/octet-stream,7ecca560b8dd2bd9aace1fd6152c568bdc99e5e984c2f1ef0fc51bf8d38014e2,2026-08-07T00:30:47+02:00
24985,html,https://id.accademiadellacrusca.org/articoli/meglio-non-volare-niente-dalla-finestra/24985,https://id.accademiadellacrusca.org/articoli/meglio-non-volare-niente-dalla-finestra/24985,ok,30546,text/html; charset=utf-8,c4ef5c48aee780770d2fd1a4adb2c84fdabb5096f589ed6c3998786c046c2c4f,2026-08-07T00:30:47+02:00
24985,pdf,https://id.accademiadellacrusca.org/File/Download?code=9138a38b-24fa-42ce-a3b3-521e87c01a24,https://id.accademiadellacrusca.org/File/Download?code=9138a38b-24fa-42ce-a3b3-521e87c01a24,ok,83999,application/octet-stream,1a6afdeb94ff88a5ee0d9381ef56284e3ae1efcc9321c9b8419e106aaeb77a16,2026-08-07T00:30:47+02:00
26053,html,https://id.accademiadellacrusca.org/articoli/oca-o-anatra-questo--il-problema-il-caso-di-papero-papera/26053,https://id.accademiadellacrusca.org/articoli/oca-o-anatra-questo--il-problema-il-caso-di-papero-papera/26053,ok,589725,text/html; charset=utf-8,4b918914cb818f0a503552de46e1bc59911ce8fe153dd1fe349ba6d052c6730c,2026-08-07T00:30:47+02:00
26053,pdf,https://id.accademiadellacrusca.org/File/Download?code=3f8f5bf0-2c25-4115-841f-8cca8ed19585,https://id.accademiadellacrusca.org/File/Download?code=3f8f5bf0-2c25-4115-841f-8cca8ed19585,ok,1134288,application/octet-stream,39c814dd81e7ee4b0ba1a04f7aafba06a2099e165765e72d8f76af3bfaf2d37a,2026-08-07T00:30:47+02:00
31280,html,https://id.accademiadellacrusca.org/articoli/evidenziare-evidenziatura-evidenziazione/31280,https://id.accademiadellacrusca.org/articoli/evidenziare-evidenziatura-evidenziazione/31280,ok,38268,text/html; charset=utf-8,ba454cfb2902c2fd109e42ca514a41404be049a1df70ba238579bfd6ba824c7e,2026-08-07T00:30:47+02:00
31280,pdf,https://id.accademiadellacrusca.org/File/Download?code=6bb84627-49f6-4d89-a7f1-85a9b1770a39,https://id.accademiadellacrusca.org/File/Download?code=6bb84627-49f6-4d89-a7f1-85a9b1770a39,ok,503351,application/octet-stream,f7c53f6065ade79f7683a8697e0429075e378511e32e8279432afd6edc56f248,2026-08-07T00:30:47+02:00
31289,html,https://id.accademiadellacrusca.org/articoli/il-content-creator--un-creatore-di-contenuti/31289,https://id.accademiadellacrusca.org/articoli/il-content-creator--un-creatore-di-contenuti/31289,ok,254048,text/html; charset=utf-8,cb05913f39dca62089ea9a478fbffdf2cc42be0b933ac7a52bcb68806a214156,2026-08-07T00:30:47+02:00
31289,pdf,https://id.accademiadellacrusca.org/File/Download?code=76c7051b-dd8a-479e-acf4-b2cd36aba931,https://id.accademiadellacrusca.org/File/Download?code=76c7051b-dd8a-479e-acf4-b2cd36aba931,ok,748356,application/octet-stream,62b0573fc63711ce92944e133e34870350496e74fbca4e00e0acb6fb0b64c0e5,2026-08-07T00:30:47+02:00
31344,html,https://id.accademiadellacrusca.org/articoli/la-sequenza-preposizione--articolo-partitivo-si-pu-usare-in-dei-casi-e-in-quali/31344,https://id.accademiadellacrusca.org/articoli/la-sequenza-preposizione--articolo-partitivo-si-pu-usare-in-dei-casi-e-in-quali/31344,ok,23971,text/html; charset=utf-8,540fe5acdadb5b3892d74238516467d40d91ccdefc68a88e835fa8681107c45e,2026-08-07T00:30:47+02:00
31344,pdf,https://id.accademiadellacrusca.org/File/Download?code=88d3377b-82ec-4ba5-946d-d49b9d17dbb6,https://id.accademiadellacrusca.org/File/Download?code=88d3377b-82ec-4ba5-946d-d49b9d17dbb6,ok,348535,application/octet-stream,71bb04a5cb539a5b79ca9d968e2b89edd7fdab8bf35537e43227ad49e90dcaca,2026-08-07T00:30:47+02:00
36452,html,https://id.accademiadellacrusca.org/articoli/la-crusca--l-accademia-italiana-pi-longeva-di-sempre/36452,https://id.accademiadellacrusca.org/articoli/la-crusca--l-accademia-italiana-pi-longeva-di-sempre/36452,ok,124812,text/html; charset=utf-8,b5f783b849d9f6140a1f2bdaab65fa64a924db725adbc5efa28235b4efdc0256,2026-08-07T00:30:47+02:00
36452,pdf,https://id.accademiadellacrusca.org/File/Download?code=b9af5c90-43a1-43a8-90a6-6da36fdad1a7,https://id.accademiadellacrusca.org/File/Download?code=b9af5c90-43a1-43a8-90a6-6da36fdad1a7,ok,477685,application/octet-stream,87396e20e061f8f8866dd3b602a69288065804ae62463571b46f8ef02118f6e4,2026-08-07T00:30:47+02:00
